Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
2020-12-16 - Plate scFv2,Experiment,Group,,E2,Experiment,None,N/A,All Events,N/A,N/A,3614,100,36.140,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,E3,Experiment,None,N/A,All Events,N/A,N/A,4243,100,42.430,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,E4,Experiment,None,N/A,All Events,N/A,N/A,4541,100,45.410,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,E5,Experiment,None,N/A,All Events,N/A,N/A,3696,100,36.960,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,E6,Experiment,None,N/A,All Events,N/A,N/A,5041,100,50.410,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,F1,Experiment,None,N/A,All Events,N/A,N/A,3689,100,36.890,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,F2,Experiment,None,N/A,All Events,N/A,N/A,3070,100,30.700,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,F3,Experiment,None,N/A,All Events,N/A,N/A,3959,100,39.590,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,F4,Experiment,None,N/A,All Events,N/A,N/A,4322,100,43.220,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,F5,Experiment,None,N/A,All Events,N/A,N/A,3266,100,32.660,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,F6,Experiment,None,N/A,All Events,N/A,N/A,3725,100,37.250,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,G1,Experiment,None,N/A,All Events,N/A,N/A,2493,100,24.930,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,G2,Experiment,None,N/A,All Events,N/A,N/A,3647,100,36.470,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,G3,Experiment,None,N/A,All Events,N/A,N/A,3531,100,35.310,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,G4,Experiment,None,N/A,All Events,N/A,N/A,4115,100,41.150,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,G5,Experiment,None,N/A,All Events,N/A,N/A,2896,100,28.960,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,G6,Experiment,None,N/A,All Events,N/A,N/A,3458,100,34.580,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,H1,Experiment,None,N/A,All Events,N/A,N/A,3016,100,30.160,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,H2,Experiment,None,N/A,All Events,N/A,N/A,2742,100,27.420,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,H3,Experiment,None,N/A,All Events,N/A,N/A,4179,100,41.790,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,H4,Experiment,None,N/A,All Events,N/A,N/A,4083,100,40.830,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,H5,Experiment,None,N/A,All Events,N/A,N/A,3517,100,35.170,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,H6,Experiment,None,N/A,All Events,N/A,N/A,4128,100,41.280,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,C8,Experiment,None,N/A,All Events,N/A,N/A,3719,100,37.190,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,D8,Experiment,None,N/A,All Events,N/A,N/A,3449,100,34.490,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,E8,Experiment,None,N/A,All Events,N/A,N/A,1784,100,17.840,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
